content,Sentimen,word_count,char_count,punc_count,processed_reviews,normalized_reviews,tokens,stopword_removed,stemmed_reviews,joined_stemmed_reviews,stopword_removed_custom,stemmed_reviews_custom
"Pelayanan udah bagus, aplikasi juga udah bagus. Buat tambahan, pada saat jam berangkat / pulang kerja lebih baik armada yang diturunkan jaraknya tidak terlalu lama dan untuk aplikasi, filter bis berdasarkan tujuan lebih ditingkatkan karena saat saya terapkan filter tujuan gresik di bungurasih, bis yang tujuan sidoarjo tetap muncul",NEGATIF,49,284,6,"['pelayanan', 'udah', 'bagus', 'aplikasi', 'juga', 'udah', 'bagus', 'buat', 'tambahan', 'pada', 'saat', 'jam', 'berangkat', 'pulang', 'kerja', 'lebih', 'baik', 'armada', 'yang', 'diturunkan', 'jaraknya', 'tidak', 'terlalu', 'lama', 'dan', 'untuk', 'aplikasi', 'filter', 'bis', 'berdasarkan', 'tujuan', 'lebih', 'ditingkatkan', 'karena', 'saat', 'saya', 'terapkan', 'filter', 'tujuan', 'gresik', 'di', 'bungurasih', 'bis', 'yang', 'tujuan', 'sidoarjo', 'tetap', 'muncul']","['pelayanan', 'udah', 'bagus', 'aplikasi', 'juga', 'udah', 'bagus', 'buat', 'tambahan', 'pada', 'saat', 'jam', 'berangkat', 'pulang', 'kerja', 'lebih', 'baik', 'armada', 'yang', 'diturunkan', 'jaraknya', 'tidak', 'terlalu', 'lama', 'dan', 'untuk', 'aplikasi', 'filter', 'bus', 'berdasarkan', 'tujuan', 'lebih', 'ditingkatkan', 'karena', 'saat', 'saya', 'terapkan', 'filter', 'tujuan', 'gresik', 'di', 'bungurasih', 'bus', 'yang', 'tujuan', 'sidoarjo', 'tetap', 'muncul']","['pelayanan', 'udah', 'bagus', 'aplikasi', 'juga', 'udah', 'bagus', 'buat', 'tambahan', 'pada', 'saat', 'jam', 'berangkat', 'pulang', 'kerja', 'lebih', 'baik', 'armada', 'yang', 'diturunkan', 'jaraknya', 'tidak', 'terlalu', 'lama', 'dan', 'untuk', 'aplikasi', 'filter', 'bus', 'berdasarkan', 'tujuan', 'lebih', 'ditingkatkan', 'karena', 'saat', 'saya', 'terapkan', 'filter', 'tujuan', 'gresik', 'di', 'bungurasih', 'bus', 'yang', 'tujuan', 'sidoarjo', 'tetap', 'muncul']","['pelayanan', 'udah', 'bagus', 'aplikasi', 'udah', 'bagus', 'tambahan', 'jam', 'berangkat', 'pulang', 'kerja', 'armada', 'diturunkan', 'jaraknya', 'aplikasi', 'filter', 'bus', 'berdasarkan', 'tujuan', 'ditingkatkan', 'terapkan', 'filter', 'tujuan', 'gresik', 'bungurasih', 'bus', 'tujuan', 'sidoarjo', 'muncul']","['layan', 'udah', 'bagus', 'aplikasi', 'udah', 'bagus', 'tambah', 'jam', 'berangkat', 'pulang', 'kerja', 'armada', 'turun', 'jarak', 'aplikasi', 'filter', 'bus', 'dasar', 'tuju', 'tingkat', 'terap', 'filter', 'tuju', 'gresik', 'bungurasih', 'bus', 'tuju', 'sidoarjo', 'muncul']",layan udah bagus aplikasi udah bagus tambah jam berangkat pulang kerja armada turun jarak aplikasi filter bus dasar tuju tingkat terap filter tuju gresik bungurasih bus tuju sidoarjo muncul,"['pelayanan', 'udah', 'bagus', 'aplikasi', 'udah', 'bagus', 'tambahan', 'jam', 'berangkat', 'pulang', 'kerja', 'armada', 'diturunkan', 'jaraknya', 'aplikasi', 'filter', 'bus', 'berdasarkan', 'tujuan', 'ditingkatkan', 'terapkan', 'filter', 'tujuan', 'gresik', 'bungurasih', 'bus', 'tujuan', 'sidoarjo', 'muncul']","['layan', 'udah', 'bagus', 'aplikasi', 'udah', 'bagus', 'tambah', 'jam', 'berangkat', 'pulang', 'kerja', 'armada', 'turun', 'jarak', 'aplikasi', 'filter', 'bus', 'dasar', 'tuju', 'tingkat', 'terap', 'filter', 'tuju', 'gresik', 'bungurasih', 'bus', 'tuju', 'sidoarjo', 'muncul']"
Mantap,POSITIF,1,6,0,['mantap'],['mantap'],['mantap'],['mantap'],['mantap'],mantap,['mantap'],['mantap']
"Aplikasinya sudah bagus dan pelayanannya sudah sangat ramah, mungkin untuk rutenya bisa di perbesar jangkauannya bisa ke Bangil, Pasuruan dsb.",POSITIF,20,123,3,"['aplikasinya', 'sudah', 'bagus', 'dan', 'pelayanannya', 'sudah', 'sangat', 'ramah', 'mungkin', 'untuk', 'rutenya', 'bisa', 'di', 'perbesar', 'jangkauannya', 'bisa', 'ke', 'bangil', 'pasuruan', 'dsb']","['aplikasinya', 'sudah', 'bagus', 'dan', 'pelayanannya', 'sudah', 'sangat', 'ramah', 'mungkin', 'untuk', 'rutenya', 'bisa', 'di', 'perbesar', 'jangkauannya', 'bisa', 'ke', 'bangil', 'pasuruan', 'dsb']","['aplikasinya', 'sudah', 'bagus', 'dan', 'pelayanannya', 'sudah', 'sangat', 'ramah', 'mungkin', 'untuk', 'rutenya', 'bisa', 'di', 'perbesar', 'jangkauannya', 'bisa', 'ke', 'bangil', 'pasuruan', 'dsb']","['aplikasinya', 'bagus', 'pelayanannya', 'ramah', 'rutenya', 'perbesar', 'jangkauannya', 'bangil', 'pasuruan', 'dsb']","['aplikasi', 'bagus', 'layan', 'ramah', 'rute', 'besar', 'jangkau', 'bangil', 'pasuruan', 'dsb']",aplikasi bagus layan ramah rute besar jangkau bangil pasuruan dsb,"['aplikasinya', 'bagus', 'pelayanannya', 'ramah', 'rutenya', 'perbesar', 'jangkauannya', 'bangil', 'pasuruan', 'dsb']","['aplikasi', 'bagus', 'layan', 'ramah', 'rute', 'besar', 'jangkau', 'bangil', 'pasuruan', 'dsb']"
"Jadwal Keberangkatan Bus Perlu Dikoreksi, Terkadang Terlalu Jauh, Terkadang Penumpukan Bus, Untuk Driver Kalau Bisa Hindari Bahu Jalan dan Ugal-Ugalan Di Tol, Untuk Crew Terkadang Terlalu Toleran Terhadap Penumpang Tentang Peraturan di Bus",NEGATIF,33,207,5,"['jadwal', 'keberangkatan', 'bus', 'perlu', 'dikoreksi', 'terkadang', 'terlalu', 'jauh', 'terkadang', 'penumpukan', 'bus', 'untuk', 'driver', 'kalau', 'bisa', 'hindari', 'bahu', 'jalan', 'dan', 'ugalugalan', 'di', 'tol', 'untuk', 'crew', 'terkadang', 'terlalu', 'toleran', 'terhadap', 'penumpang', 'tentang', 'peraturan', 'di', 'bus']","['jadwal', 'keberangkatan', 'bus', 'perlu', 'dikoreksi', 'terkadang', 'terlalu', 'jauh', 'terkadang', 'penumpukan', 'bus', 'untuk', 'driver', 'kalau', 'bisa', 'hindari', 'bahu', 'jalan', 'dan', 'ugalugalan', 'di', 'tol', 'untuk', 'crew', 'terkadang', 'terlalu', 'toleran', 'terhadap', 'penumpang', 'tentang', 'peraturan', 'di', 'bus']","['jadwal', 'keberangkatan', 'bus', 'perlu', 'dikoreksi', 'terkadang', 'terlalu', 'jauh', 'terkadang', 'penumpukan', 'bus', 'untuk', 'driver', 'kalau', 'bisa', 'hindari', 'bahu', 'jalan', 'dan', 'ugalugalan', 'di', 'tol', 'untuk', 'crew', 'terkadang', 'terlalu', 'toleran', 'terhadap', 'penumpang', 'tentang', 'peraturan', 'di', 'bus']","['jadwal', 'keberangkatan', 'bus', 'dikoreksi', 'terkadang', 'terkadang', 'penumpukan', 'bus', 'driver', 'hindari', 'bahu', 'jalan', 'ugalugalan', 'tol', 'crew', 'terkadang', 'toleran', 'penumpang', 'peraturan', 'bus']","['jadwal', 'berangkat', 'bus', 'koreksi', 'terkadang', 'terkadang', 'tumpu', 'bus', 'driver', 'hindar', 'bahu', 'jalan', 'ugalugalan', 'tol', 'crew', 'terkadang', 'toleran', 'tumpang', 'atur', 'bus']",jadwal berangkat bus koreksi terkadang terkadang tumpu bus driver hindar bahu jalan ugalugalan tol crew terkadang toleran tumpang atur bus,"['jadwal', 'keberangkatan', 'bus', 'dikoreksi', 'terkadang', 'terkadang', 'penumpukan', 'bus', 'driver', 'hindari', 'bahu', 'jalan', 'ugalugalan', 'tol', 'crew', 'terkadang', 'toleran', 'penumpang', 'peraturan', 'bus']","['jadwal', 'berangkat', 'bus', 'koreksi', 'terkadang', 'terkadang', 'tumpu', 'bus', 'driver', 'hindar', 'bahu', 'jalan', 'ugalugalan', 'tol', 'crew', 'terkadang', 'toleran', 'tumpang', 'atur', 'bus']"
"Kalo aplikasi lumayan bagus sih. Cuma yang bikin resah itu pengisian BBM cuma di 1 SPBU, jadi sekalinya dapet bus yang ngisi BBM, CROWDED BANGET ama kendaraan yang lain. Jadi KELAMAAN!!!",NEGATIF,31,156,7,"['kalo', 'aplikasi', 'lumayan', 'bagus', 'sih', 'cuma', 'yang', 'bikin', 'resah', 'itu', 'pengisian', 'bbm', 'cuma', 'di', 'spbu', 'jadi', 'sekalinya', 'dapet', 'bus', 'yang', 'ngisi', 'bbm', 'crowded', 'banget', 'ama', 'kendaraan', 'yang', 'lain', 'jadi', 'kelamaan']","['kalo', 'aplikasi', 'lumayan', 'bagus', '', 'hanya', 'yang', 'bikin', 'resah', 'itu', 'pengisian', 'bbm', 'hanya', 'di', 'spbu', 'jadi', 'sekalinya', 'dapet', 'bus', 'yang', 'ngisi', 'bbm', 'crowded', 'banget', 'ama', 'kendaraan', 'yang', 'lain', 'jadi', 'kelamaan']","['kalo', 'aplikasi', 'lumayan', 'bagus', '', 'hanya', 'yang', 'bikin', 'resah', 'itu', 'pengisian', 'bbm', 'hanya', 'di', 'spbu', 'jadi', 'sekalinya', 'dapet', 'bus', 'yang', 'ngisi', 'bbm', 'crowded', 'banget', 'ama', 'kendaraan', 'yang', 'lain', 'jadi', 'kelamaan']","['kalo', 'aplikasi', 'lumayan', 'bagus', '', 'bikin', 'resah', 'pengisian', 'bbm', 'spbu', 'sekalinya', 'dapet', 'bus', 'ngisi', 'bbm', 'crowded', 'banget', 'ama', 'kendaraan']","['kalo', 'aplikasi', 'lumayan', 'bagus', '', 'bikin', 'resah', 'isi', 'bbm', 'spbu', 'sekali', 'dapet', 'bus', 'ngisi', 'bbm', 'crowded', 'banget', 'ama', 'kendara']",kalo aplikasi lumayan bagus  bikin resah isi bbm spbu sekali dapet bus ngisi bbm crowded banget ama kendara,"['kalo', 'aplikasi', 'lumayan', 'bagus', '', 'bikin', 'resah', 'pengisian', 'bbm', 'spbu', 'sekalinya', 'dapet', 'bus', 'ngisi', 'bbm', 'crowded', 'banget', 'ama', 'kendaraan']","['kalo', 'aplikasi', 'lumayan', 'bagus', '', 'bikin', 'resah', 'isi', 'bbm', 'spbu', 'sekali', 'dapet', 'bus', 'ngisi', 'bbm', 'crowded', 'banget', 'ama', 'kendara']"
Jam operasional sampai 21.00 tapi jm 19.00 sudah tdk ada bus lagi hadehh,NEGATIF,13,60,2,"['jam', 'operasional', 'sampai', 'tapi', 'jm', 'sudah', 'tdk', 'ada', 'bus', 'lagi', 'hadehh']","['jam', 'operasional', 'sampai', 'tapi', 'jm', 'sudah', 'tidak', 'ada', 'bus', 'lagi', 'hadehh']","['jam', 'operasional', 'sampai', 'tapi', 'jm', 'sudah', 'tidak', 'ada', 'bus', 'lagi', 'hadehh']","['jam', 'operasional', 'jm', 'bus', 'hadehh']","['jam', 'operasional', 'jm', 'bus', 'hadehh']",jam operasional jm bus hadehh,"['jam', 'operasional', 'jm', 'bus', 'hadehh']","['jam', 'operasional', 'jm', 'bus', 'hadehh']"
"bus kecil, kursi cuma 20 kebanyakan berdiri, driver ugal ugalan jadi ga nyaman gas dan rem kasar, antri BBM di Bungurasih lama lemot bikin telat perjalanan, antri naik bus di bungur panjang ga beraturan Kapok deh",NEGATIF,36,177,4,"['bus', 'kecil', 'kursi', 'cuma', 'kebanyakan', 'berdiri', 'driver', 'ugal', 'ugalan', 'jadi', 'ga', 'nyaman', 'gas', 'dan', 'rem', 'kasar', 'antri', 'bbm', 'di', 'bungurasih', 'lama', 'lemot', 'bikin', 'telat', 'perjalanan', 'antri', 'naik', 'bus', 'di', 'bungur', 'panjang', 'ga', 'beraturan', 'kapok', 'deh']","['bus', 'kecil', 'kursi', 'hanya', 'kebanyakan', 'berdiri', 'driver', 'ugal', 'ugalan', 'jadi', 'tidak', 'nyaman', 'gas', 'dan', 'rem', 'kasar', 'antri', 'bbm', 'di', 'bungurasih', 'lama', 'lemot', 'bikin', 'telat', 'perjalanan', 'antri', 'naik', 'bus', 'di', 'bungur', 'panjang', 'tidak', 'beraturan', 'kapok', '']","['bus', 'kecil', 'kursi', 'hanya', 'kebanyakan', 'berdiri', 'driver', 'ugal', 'ugalan', 'jadi', 'tidak', 'nyaman', 'gas', 'dan', 'rem', 'kasar', 'antri', 'bbm', 'di', 'bungurasih', 'lama', 'lemot', 'bikin', 'telat', 'perjalanan', 'antri', 'naik', 'bus', 'di', 'bungur', 'panjang', 'tidak', 'beraturan', 'kapok', '']","['bus', 'kursi', 'kebanyakan', 'berdiri', 'driver', 'ugal', 'ugalan', 'nyaman', 'gas', 'rem', 'kasar', 'antri', 'bbm', 'bungurasih', 'lemot', 'bikin', 'telat', 'perjalanan', 'antri', 'bus', 'bungur', 'beraturan', 'kapok', '']","['bus', 'kursi', 'banyak', 'diri', 'driver', 'ugal', 'ugalan', 'nyaman', 'gas', 'rem', 'kasar', 'antri', 'bbm', 'bungurasih', 'lot', 'bikin', 'telat', 'jalan', 'antri', 'bus', 'bungur', 'atur', 'kapok', '']",bus kursi banyak diri driver ugal ugalan nyaman gas rem kasar antri bbm bungurasih lot bikin telat jalan antri bus bungur atur kapok ,"['bus', 'kursi', 'kebanyakan', 'berdiri', 'driver', 'ugal', 'ugalan', 'nyaman', 'gas', 'rem', 'kasar', 'antri', 'bbm', 'bungurasih', 'lemot', 'bikin', 'telat', 'perjalanan', 'antri', 'bus', 'bungur', 'beraturan', 'kapok', '']","['bus', 'kursi', 'banyak', 'diri', 'driver', 'ugal', 'ugalan', 'nyaman', 'gas', 'rem', 'kasar', 'antri', 'bbm', 'bungurasih', 'lot', 'bikin', 'telat', 'jalan', 'antri', 'bus', 'bungur', 'atur', 'kapok', '']"
Tolong halte kalitengah arah ke porong di perbaiki agar bisa turun di dalam halte ngga di sampingnya halte,NEGATIF,18,89,0,"['tolong', 'halte', 'kalitengah', 'arah', 'ke', 'porong', 'di', 'perbaiki', 'agar', 'bisa', 'turun', 'di', 'dalam', 'halte', 'ngga', 'di', 'sampingnya', 'halte']","['tolong', 'halte', 'kalitengah', 'arah', 'ke', 'porong', 'di', 'perbaiki', 'agar', 'bisa', 'turun', 'di', 'dalam', 'halte', 'tidak', 'di', 'sampingnya', 'halte']","['tolong', 'halte', 'kalitengah', 'arah', 'ke', 'porong', 'di', 'perbaiki', 'agar', 'bisa', 'turun', 'di', 'dalam', 'halte', 'tidak', 'di', 'sampingnya', 'halte']","['tolong', 'halte', 'kalitengah', 'arah', 'porong', 'perbaiki', 'turun', 'halte', 'sampingnya', 'halte']","['tolong', 'halte', 'kalitengah', 'arah', 'porong', 'baik', 'turun', 'halte', 'samping', 'halte']",tolong halte kalitengah arah porong baik turun halte samping halte,"['tolong', 'halte', 'kalitengah', 'arah', 'porong', 'perbaiki', 'turun', 'halte', 'sampingnya', 'halte']","['tolong', 'halte', 'kalitengah', 'arah', 'porong', 'baik', 'turun', 'halte', 'samping', 'halte']"
sangat membantu,POSITIF,2,14,0,"['sangat', 'membantu']","['sangat', 'membantu']","['sangat', 'membantu']",['membantu'],['bantu'],bantu,['membantu'],['bantu']
"Maaf yaa... Udah nunggu 2 jam lebih bis nya ngga dateng-dateng, sekalinya dateng penumpang udah desak desakan... Mohon di perjelas lagi info keberangkatan dan mungkin armadanya bisa ditambah lagi... Terimakasih ",NEGATIF,30,181,11,"['maaf', 'yaa', 'udah', 'nunggu', 'jam', 'lebih', 'bis', 'nya', 'ngga', 'datengdateng', 'sekalinya', 'dateng', 'penumpang', 'udah', 'desak', 'desakan', 'mohon', 'di', 'perjelas', 'lagi', 'info', 'keberangkatan', 'dan', 'mungkin', 'armadanya', 'bisa', 'ditambah', 'lagi', 'terimakasih']","['maaf', 'yaa', 'udah', 'menunggu', 'jam', 'lebih', 'bus', 'nya', 'tidak', 'datengdateng', 'sekalinya', 'dateng', 'penumpang', 'udah', 'desak', 'desakan', 'mohon', 'di', 'perjelas', 'lagi', 'info', 'keberangkatan', 'dan', 'mungkin', 'armadanya', 'bisa', 'ditambah', 'lagi', 'terimakasih']","['maaf', 'yaa', 'udah', 'menunggu', 'jam', 'lebih', 'bus', 'nya', 'tidak', 'datengdateng', 'sekalinya', 'dateng', 'penumpang', 'udah', 'desak', 'desakan', 'mohon', 'di', 'perjelas', 'lagi', 'info', 'keberangkatan', 'dan', 'mungkin', 'armadanya', 'bisa', 'ditambah', 'lagi', 'terimakasih']","['maaf', 'yaa', 'udah', 'menunggu', 'jam', 'bus', 'nya', 'datengdateng', 'sekalinya', 'dateng', 'penumpang', 'udah', 'desak', 'desakan', 'mohon', 'perjelas', 'info', 'keberangkatan', 'armadanya', 'ditambah', 'terimakasih']","['maaf', 'yaa', 'udah', 'tunggu', 'jam', 'bus', 'nya', 'datengdateng', 'sekali', 'dateng', 'tumpang', 'udah', 'desak', 'desa', 'mohon', 'jelas', 'info', 'berangkat', 'armada', 'tambah', 'terimakasih']",maaf yaa udah tunggu jam bus nya datengdateng sekali dateng tumpang udah desak desa mohon jelas info berangkat armada tambah terimakasih,"['maaf', 'yaa', 'udah', 'menunggu', 'jam', 'bus', 'datengdateng', 'sekalinya', 'dateng', 'penumpang', 'udah', 'desak', 'desakan', 'mohon', 'perjelas', 'info', 'keberangkatan', 'armadanya', 'ditambah', 'terimakasih']","['maaf', 'yaa', 'udah', 'tunggu', 'jam', 'bus', 'datengdateng', 'sekali', 'dateng', 'tumpang', 'udah', 'desak', 'desa', 'mohon', 'jelas', 'info', 'berangkat', 'armada', 'tambah', 'terimakasih']"
Okay,POSITIF,1,4,0,['okay'],['okay'],['okay'],['okay'],['okay'],okay,['okay'],['okay']
"Bus kurang besar, selalu berdesak2an....",NEGATIF,5,36,5,"['bus', 'kurang', 'besar', 'selalu', 'berdesakan']","['bus', 'kurang', 'besar', 'selalu', 'berdesakan']","['bus', 'kurang', 'besar', 'selalu', 'berdesakan']","['bus', 'berdesakan']","['bus', 'desa']",bus desa,"['bus', 'berdesakan']","['bus', 'desa']"
Apakah hari raya ttp beroperasi??,NEGATIF,5,29,2,"['apakah', 'hari', 'raya', 'ttp', 'beroperasi']","['apakah', 'hari', 'raya', 'ttp', 'beroperasi']","['apakah', 'hari', 'raya', 'ttp', 'beroperasi']","['raya', 'ttp', 'beroperasi']","['raya', 'ttp', 'operasi']",raya ttp operasi,"['raya', 'ttp', 'beroperasi']","['raya', 'ttp', 'operasi']"
Bu tambakan halte di surabaya juga,POSITIF,6,29,0,"['bu', 'tambakan', 'halte', 'di', 'surabaya', 'juga']","['bu', 'tambakan', 'halte', 'di', 'surabaya', 'juga']","['bu', 'tambakan', 'halte', 'di', 'surabaya', 'juga']","['bu', 'tambakan', 'halte', 'surabaya']","['bu', 'tambakan', 'halte', 'surabaya']",bu tambakan halte surabaya,"['tambakan', 'halte', 'surabaya']","['tambakan', 'halte', 'surabaya']"
Armada sedikit.. Bus kecil,NEGATIF,4,23,2,"['armada', 'sedikit', 'bus', 'kecil']","['armada', 'sedikit', 'bus', 'kecil']","['armada', 'sedikit', 'bus', 'kecil']","['armada', 'bus']","['armada', 'bus']",armada bus,"['armada', 'bus']","['armada', 'bus']"
Aplikasi top,POSITIF,2,11,0,"['aplikasi', 'top']","['aplikasi', 'top']","['aplikasi', 'top']","['aplikasi', 'top']","['aplikasi', 'top']",aplikasi top,"['aplikasi', 'top']","['aplikasi', 'top']"
"Aplikasi sudah cukup bagus dan membantu, saran utk skrng adalah penambahan armada dan halte krn pengguna sangat amat banyak, kasian halte2 kecil yg sudah tdk mendapatkan jatah naik, dan utk aplikasinya mohon ditambahakan fitur detail orang yg sedang menunggu di tiap2 halte, jadi spt ada aplikasi cek in - cek out di tiap halte, terimakasih 🙏🏻",NEGATIF,56,288,6,"['aplikasi', 'sudah', 'cukup', 'bagus', 'dan', 'membantu', 'saran', 'utk', 'skrng', 'adalah', 'penambahan', 'armada', 'dan', 'halte', 'krn', 'pengguna', 'sangat', 'amat', 'banyak', 'kasian', 'halte', 'kecil', 'yg', 'sudah', 'tdk', 'mendapatkan', 'jatah', 'naik', 'dan', 'utk', 'aplikasinya', 'mohon', 'ditambahakan', 'fitur', 'detail', 'orang', 'yg', 'sedang', 'menunggu', 'di', 'tiap', 'halte', 'jadi', 'spt', 'ada', 'aplikasi', 'cek', 'cek', 'di', 'tiap', 'halte', 'terimakasih', '🙏🏻']","['aplikasi', 'sudah', 'cukup', 'bagus', 'dan', 'membantu', 'saran', 'untuk', 'skrng', 'adalah', 'penambahan', 'armada', 'dan', 'halte', 'karena', 'pengguna', 'sangat', 'amat', 'banyak', 'kasian', 'halte', 'kecil', 'yang', 'sudah', 'tidak', 'mendapatkan', 'jatah', 'naik', 'dan', 'untuk', 'aplikasinya', 'mohon', 'ditambahakan', 'fitur', 'detail', 'orang', 'yang', 'sedang', 'menunggu', 'di', 'tiap', 'halte', 'jadi', 'spt', 'ada', 'aplikasi', 'cek', 'cek', 'di', 'tiap', 'halte', 'terimakasih', '🙏🏻']","['aplikasi', 'sudah', 'cukup', 'bagus', 'dan', 'membantu', 'saran', 'untuk', 'skrng', 'adalah', 'penambahan', 'armada', 'dan', 'halte', 'karena', 'pengguna', 'sangat', 'amat', 'banyak', 'kasian', 'halte', 'kecil', 'yang', 'sudah', 'tidak', 'mendapatkan', 'jatah', 'naik', 'dan', 'untuk', 'aplikasinya', 'mohon', 'ditambahakan', 'fitur', 'detail', 'orang', 'yang', 'sedang', 'menunggu', 'di', 'tiap', 'halte', 'jadi', 'spt', 'ada', 'aplikasi', 'cek', 'cek', 'di', 'tiap', 'halte', 'terimakasih', '🙏🏻']","['aplikasi', 'bagus', 'membantu', 'saran', 'skrng', 'penambahan', 'armada', 'halte', 'pengguna', 'kasian', 'halte', 'jatah', 'aplikasinya', 'mohon', 'ditambahakan', 'fitur', 'detail', 'orang', 'menunggu', 'halte', 'spt', 'aplikasi', 'cek', 'cek', 'halte', 'terimakasih', '🙏🏻']","['aplikasi', 'bagus', 'bantu', 'saran', 'skrng', 'tambah', 'armada', 'halte', 'guna', 'kasi', 'halte', 'jatah', 'aplikasi', 'mohon', 'ditambahakan', 'fitur', 'detail', 'orang', 'tunggu', 'halte', 'spt', 'aplikasi', 'cek', 'cek', 'halte', 'terimakasih', '']",aplikasi bagus bantu saran skrng tambah armada halte guna kasi halte jatah aplikasi mohon ditambahakan fitur detail orang tunggu halte spt aplikasi cek cek halte terimakasih ,"['aplikasi', 'bagus', 'membantu', 'saran', 'skrng', 'penambahan', 'armada', 'halte', 'pengguna', 'kasian', 'halte', 'jatah', 'aplikasinya', 'mohon', 'ditambahakan', 'fitur', 'detail', 'orang', 'menunggu', 'halte', 'spt', 'aplikasi', 'cek', 'cek', 'halte', 'terimakasih', '🙏🏻']","['aplikasi', 'bagus', 'bantu', 'saran', 'skrng', 'tambah', 'armada', 'halte', 'guna', 'kasi', 'halte', 'jatah', 'aplikasi', 'mohon', 'ditambahakan', 'fitur', 'detail', 'orang', 'tunggu', 'halte', 'spt', 'aplikasi', 'cek', 'cek', 'halte', 'terimakasih', '']"
Kak katanya mulai tgl 1 April bagi pelajar klok tidak punya kartu transjatim biayanya 5.000 yaaa,POSITIF,16,81,1,"['kak', 'katanya', 'mulai', 'tgl', 'april', 'bagi', 'pelajar', 'klok', 'tidak', 'punya', 'kartu', 'transjatim', 'biayanya', 'yaaa']","['kak', 'katanya', 'mulai', 'tgl', 'april', 'bagi', 'pelajar', 'klok', 'tidak', 'punya', 'kartu', 'transjatim', 'biayanya', 'yaaa']","['kak', 'katanya', 'mulai', 'tgl', 'april', 'bagi', 'pelajar', 'klok', 'tidak', 'punya', 'kartu', 'transjatim', 'biayanya', 'yaaa']","['kak', 'tgl', 'april', 'pelajar', 'klok', 'kartu', 'transjatim', 'biayanya', 'yaaa']","['kak', 'tgl', 'april', 'ajar', 'klok', 'kartu', 'transjatim', 'biaya', 'yaaa']",kak tgl april ajar klok kartu transjatim biaya yaaa,"['kak', 'tgl', 'april', 'pelajar', 'klok', 'kartu', 'transjatim', 'biayanya', 'yaaa']","['kak', 'tgl', 'april', 'ajar', 'klok', 'kartu', 'transjatim', 'biaya', 'yaaa']"
sangat buruk sudah nunggu lama di halte rsud sidoarjo harus di suruh naik ke halte bligo disuruh jalan di kira gk jauh,NEGATIF,22,97,0,"['sangat', 'buruk', 'sudah', 'nunggu', 'lama', 'di', 'halte', 'rsud', 'sidoarjo', 'harus', 'di', 'suruh', 'naik', 'ke', 'halte', 'bligo', 'disuruh', 'jalan', 'di', 'kira', 'gk', 'jauh']","['sangat', 'buruk', 'sudah', 'menunggu', 'lama', 'di', 'halte', 'rsud', 'sidoarjo', 'harus', 'di', 'suruh', 'naik', 'ke', 'halte', 'bligo', 'disuruh', 'jalan', 'di', 'kira', 'tidak', 'jauh']","['sangat', 'buruk', 'sudah', 'menunggu', 'lama', 'di', 'halte', 'rsud', 'sidoarjo', 'harus', 'di', 'suruh', 'naik', 'ke', 'halte', 'bligo', 'disuruh', 'jalan', 'di', 'kira', 'tidak', 'jauh']","['buruk', 'menunggu', 'halte', 'rsud', 'sidoarjo', 'suruh', 'halte', 'bligo', 'disuruh', 'jalan']","['buruk', 'tunggu', 'halte', 'rsud', 'sidoarjo', 'suruh', 'halte', 'bligo', 'suruh', 'jalan']",buruk tunggu halte rsud sidoarjo suruh halte bligo suruh jalan,"['buruk', 'menunggu', 'halte', 'rsud', 'sidoarjo', 'suruh', 'halte', 'bligo', 'disuruh', 'jalan']","['buruk', 'tunggu', 'halte', 'rsud', 'sidoarjo', 'suruh', 'halte', 'bligo', 'suruh', 'jalan']"
"Userfriendly, cepat, dan stabil",POSITIF,4,28,2,"['userfriendly', 'cepat', 'dan', 'stabil']","['userfriendly', 'cepat', 'dan', 'stabil']","['userfriendly', 'cepat', 'dan', 'stabil']","['userfriendly', 'cepat', 'stabil']","['userfriendly', 'cepat', 'stabil']",userfriendly cepat stabil,"['userfriendly', 'cepat', 'stabil']","['userfriendly', 'cepat', 'stabil']"
